name,year_period,year,recclass,continent,country,mass_cleaned,mass_bin,recclass_clean,fall,reclat,reclong
Yamato 9403,20th Century,1994.0,H6,Antarctica,Antarctica,263.13,100-1kg,H6,Found,-71.54694,35.40194
Yamato 9404,20th Century,1994.0,H4,Antarctica,Antarctica,6.75,1-10g,H4,Found,-71.54694,35.40194
Yamato 9405,20th Century,1994.0,H/L4,Antarctica,Antarctica,4.83,1-10g,OTHER,Found,-71.54694,35.40194
Yamato 9406,20th Century,1994.0,H6,Antarctica,Antarctica,2.55,1-10g,H6,Found,-71.54694,35.40194
Yamato 9407,20th Century,1994.0,H4,Antarctica,Antarctica,9.16,1-10g,H4,Found,-71.54694,35.40194
Yamato 9408,20th Century,1994.0,H4,Antarctica,Antarctica,6.99,1-10g,H4,Found,-71.54694,35.40194
Yamato 9409,20th Century,1994.0,H4,Antarctica,Antarctica,2.89,1-10g,H4,Found,-71.54694,35.40194
Yamato 9410,20th Century,1994.0,OC,Antarctica,Antarctica,1.53,1-10g,OTHER,Found,-71.54694,35.40194
Yamato 9411,20th Century,1994.0,OC,Antarctica,Antarctica,1.84,1-10g,OTHER,Found,-71.54694,35.40194
Yamato 9412,20th Century,1994.0,OC,Antarctica,Antarctica,1.83,1-10g,OTHER,Found,-71.54694,35.40194
Yamato 9413,20th Century,1994.0,OC,Antarctica,Antarctica,0.84,<1g,OTHER,Found,-71.54694,35.40194
Yamato 9414,20th Century,1994.0,OC,Antarctica,Antarctica,2.94,1-10g,OTHER,Found,-71.54694,35.40194
Yamato 9415,20th Century,1994.0,OC,Antarctica,Antarctica,0.75,<1g,OTHER,Found,-71.54694,35.40194
Yamato 9416,20th Century,1994.0,OC,Antarctica,Antarctica,2.9,1-10g,OTHER,Found,-71.54694,35.40194
Yamato 980318,20th Century,1998.0,Eucrite-cm,Antarctica,Antarctica,166.81,100-1kg,ACHONDRITE,Found,-71.5,35.66667
Yamato 980459,20th Century,1998.0,Martian (shergottite),Antarctica,Antarctica,82.46,10-100g,OTHER,Found,-72.09802,35.24265
Yamato 981031,20th Century,1998.0,Lunar (anorth),Antarctica,Antarctica,185.8,100-1kg,OTHER,Found,-71.54694,35.40194
Yamato 981651,20th Century,1998.0,Eucrite,Antarctica,Antarctica,235.88,100-1kg,ACHONDRITE,Found,-71.5,35.66667
Yamato 983885,20th Century,1999.0,Lunar (anorth),Antarctica,Antarctica,289.71,100-1kg,OTHER,Found,-71.56283,36.00517
Yandama,20th Century,1914.0,L6,Oceania,Australia,5800.0,1-10kg,L6,Found,-29.75,141.03333
Yanhuitlan,19th Century,1825.0,"Iron, IVA",North America,Mexico,50369.99999999971,>10kg,IRON,Found,17.53333,-97.35
Yardea,19th Century,1875.0,"Iron, IAB-MG",Oceania,Australia,3290.0,1-10kg,IRON,Found,-32.45,135.55
Yaringie Hill,21st Century,2006.0,H5,Oceania,Australia,5750.0,1-10kg,H5,Found,-32.08287,135.64985
Yarle Lakes 001,20th Century,1990.0,H5,Oceania,Australia,913.0,100-1kg,H5,Found,-30.31667,131.46667
Yarle Lakes 002,20th Century,1991.0,H4/5,Oceania,Australia,500.0,100-1kg,H4,Found,-30.36417,131.3745
Yarle Lakes 003,20th Century,1993.0,L6,Oceania,Australia,14.0,10-100g,L6,Found,-30.28,131.35833
Yarle Lakes 004,21st Century,2009.0,CK4,Oceania,Australia,4.6,1-10g,CARBONACEOUS,Found,-30.5,131.46667
Yarri,20th Century,1908.0,"Iron, IIIAB",Oceania,Australia,1500.0,1-10kg,IRON,Found,-29.45,121.21667
Yarroweyah,20th Century,1903.0,"Iron, IIAB",Oceania,Australia,9600.0,1-10kg,IRON,Found,-35.98333,145.58333
Yayjinna,20th Century,1965.0,L6,Oceania,Australia,262.5,100-1kg,L6,Found,-32.03333,126.175
Ybbsitz,20th Century,1977.0,H4,Europe,Austria,15000.0,>10kg,H4,Found,47.96,14.89
Yelland 001,21st Century,2011.0,L6,North America,United States of America,4.5,1-10g,L6,Found,39.55801,-114.42715
Yelland Dry Lake,21st Century,2007.0,H4,North America,United States of America,50369.99999999971,>10kg,H4,Found,39.35067,-114.40783
Yenberrie,20th Century,1918.0,"Iron, IAB-MG",Oceania,Australia,50369.99999999971,>10kg,IRON,Found,-14.25,132.01667
Yilmia,20th Century,1969.0,EL6,Oceania,Australia,40000.0,>10kg,L6,Found,-31.19167,121.53333
Yingde,20th Century,1964.0,"Iron, IVA",Asia,China,50369.99999999971,>10kg,IRON,Found,24.2,113.4
Yocemento,20th Century,1966.0,L4,North America,United States of America,5920.0,1-10kg,L4,Found,38.9,-99.43333
Yongning,20th Century,1971.0,"Iron, IAB-ung",Asia,China,50369.99999999971,>10kg,IRON,Found,22.75,108.33333
York (iron),19th Century,1878.0,"Iron, IIIAB",North America,United States of America,835.0,100-1kg,IRON,Found,40.75,-97.5
York (stone),20th Century,1928.0,L6,North America,United States of America,1440.0,1-10kg,L6,Found,40.86667,-97.6
Yorktown (Texas),20th Century,1957.0,H5,North America,United States of America,3500.0,1-10kg,H5,Found,28.95,-97.40278
Youanmi,20th Century,1917.0,"Iron, IIIAB",Oceania,Australia,50369.99999999971,>10kg,IRON,Found,-29.5,118.75
Youndegin,19th Century,1884.0,"Iron, IAB-MG",Oceania,Australia,50369.99999999971,>10kg,IRON,Found,-32.1,117.71667
Youxi,21st Century,2006.0,Mesosiderite-C,Asia,China,50369.99999999971,>10kg,OTHER,Found,26.06,118.01
Ysleta,20th Century,1914.0,"Iron, ungrouped",North America,United States of America,50369.99999999971,>10kg,IRON,Found,31.65,-106.18333
